PDB Name,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score,Volume score,Polarity score,Charge score,Proportion of polar atoms,Alpha sphere density,Cent. of mass - Alpha Sphere max dist,Flexibility,cryptic pocket flag
3CHEA,0.078,0.159,19,51.977,9.71,42.267,144.123,15,3.736,0.476,0.842,33.889,4.333,5,-2,25,2.735,5.877,0.423,0
3CJ0A,0.311,0.627,59,141.726,60.577,81.149,543.184,21.538,4.117,0.627,0.441,10.833,3.333,6,0,40,4.929,11.999,0.479,0
3DXNA,0.068,0.001,30,107.884,57.164,50.72,361.449,14,4.033,0.588,0.5,31,4.071,7,-2,46.154,3.484,6.477,0.417,0
3DXNA,-0.006,0.001,22,77.103,39.666,37.436,230.724,10,3.93,0.585,0.5,-4,3.571,6,0,47.368,2.067,4.525,0.358,0
3HQDA,0.241,0.095,62,198.499,105.512,92.987,732.375,14.75,3.93,0.534,0.387,10.667,3.867,11,-2,40.816,5.654,13.136,0.265,0
3HQDA,0.189,0.193,31,92.455,33.282,59.174,300.955,10.769,3.681,0.378,0.419,34.786,4.214,8,-1,32,3.905,11.017,0.32,0
3HQDA,0.16,0.001,30,99.431,68.033,31.398,300.716,5,3.732,0.51,0.2,-3.833,4.25,8,2,51.852,3.911,8.568,0.814,0
3KQAB,0.532,0.632,54,114.161,62.233,51.928,425.654,11.478,3.829,0.572,0.426,8.75,3.75,8,1,40,6.559,16.047,0.57,0
3KQAB,0.363,0.412,62,217.394,152.182,65.212,802.086,10.6,3.927,0.544,0.323,-2.7,3.8,12,-1,46.939,7.652,21.089,0.4,0
3L7UC,0.408,0.073,54,159.241,88.169,71.072,614.492,13.733,3.873,0.494,0.278,6.071,4,11,-2,50,5.932,12.432,0.487,0
3MN9A,0.022,0,17,36.536,26.875,9.661,163.814,0,3.831,0.684,0,-13.75,3.25,3,-2,53.333,1.872,4.25,0.483,0
3MN9A,0.02,0.45,31,83.545,26.786,56.759,286.84,24.692,3.937,0.579,0.839,36,4.222,4,0,26.087,3.536,8.19,0.282,0
3MN9A,0.014,0,17,60.757,48.68,12.076,190.091,4,3.837,0.443,0.294,8.571,3.429,4,0,57.143,2.852,5.87,0.276,0
3NNUA,0.072,0,42,145.2,86.027,59.174,490.937,3.556,3.944,0.54,0.214,-2.667,3.333,9,1,46.667,6.172,14.153,0.799,0
3NNUA,-0.035,0,40,159.652,81.156,78.496,636.403,11.625,4.095,0.553,0.4,23.733,4.867,7,3,41.935,5.526,11.685,0.476,0
4AKEB,0.36,0.006,33,87.876,41.986,45.89,336.89,7,3.913,0.505,0.242,20.636,3.909,6,-1,45.833,3.782,8.16,0.534,0
4AKEB,0.358,0.033,35,85.134,47.697,37.436,363.164,12,4.107,0.624,0.371,5.833,5,5,1,45.833,3.439,9.105,0.599,0
