PDB Name,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score,Volume score,Polarity score,Charge score,Proportion of polar atoms,Alpha sphere density,Cent. of mass - Alpha Sphere max dist,Flexibility,cryptic pocket flag
2afw,0.463,0.003,51,88.764,45.289,43.475,365.753,6.0,3.843,0.46,0.137,27.125,4.562,11,-1,51.613,4.091,8.031,0.336,0
2c04,0.165,0.013,38,128.58,65.625,62.955,400.011,13.529,3.797,0.441,0.447,5.214,3.143,8,0,44.828,4.623,10.095,0.354,0
1ho4,0.219,0.047,67,187.855,79.168,108.687,612.12,8.111,3.945,0.456,0.269,7.235,3.647,12,2,40.426,5.259,11.91,0.554,0
2cxq,0.005,0.029,21,100.173,31.338,68.835,419.704,10.333,4.317,0.682,0.571,10.222,4.0,5,3,35.0,4.198,11.559,0.247,0
1sc9,0.353,0.74,54,142.874,57.053,85.821,483.886,28.529,3.741,0.492,0.63,46.636,4.727,6,-1,33.333,4.716,11.781,0.754,0
1o6i,0.33,0.806,90,218.675,91.716,126.959,833.247,36.14,4.038,0.518,0.633,36.455,5.182,14,-3,33.333,7.108,16.144,0.299,0
2fr3,0.218,0.478,158,316.429,155.419,161.01,1196.763,36.063,3.954,0.491,0.399,30.375,4.281,18,0,41.379,7.676,19.12,0.314,0
1hsr,0.05,0.0,22,47.471,26.941,20.53,221.756,5.0,3.932,0.603,0.273,34.571,3.143,2,0,41.176,2.64,4.875,0.41,0
1oyo,0.346,0.115,40,109.07,68.011,41.059,430.66,11.692,3.886,0.444,0.325,16.429,2.5,6,0,51.852,3.598,8.527,0.398,0
1xmv,0.319,0.001,28,74.548,41.942,32.606,310.28,4.0,3.907,0.505,0.179,4.6,3.2,8,0,59.091,3.633,10.091,0.389,0
1lbz,0.218,0.001,23,56.838,29.062,27.775,236.729,5.0,3.959,0.598,0.261,9.444,4.222,6,-2,44.444,2.305,4.99,0.549,0
2a84,-0.124,0.0,15,63.452,26.986,36.466,153.902,3.0,3.947,0.531,0.267,0.667,4.167,5,1,40.0,1.532,2.794,0.523,0
1pkk,0.278,0.004,26,112.6,47.388,65.212,353.178,11.0,4.106,0.685,0.462,34.111,4.889,6,0,43.478,3.398,7.091,0.436,0
1phw,0.211,0.017,56,158.09,66.311,91.78,604.895,7.714,3.992,0.557,0.25,-0.333,3.889,11,5,42.857,5.214,12.427,0.775,0
1v3s,0.192,0.552,60,191.483,65.89,125.593,732.645,32.811,4.111,0.523,0.617,11.588,4.0,9,4,38.095,4.848,15.504,0.494,0
1gad,0.268,0.034,28,85.214,42.947,42.267,307.425,12.0,4.017,0.473,0.464,18.727,3.273,5,-2,45.0,3.398,7.714,0.819,0
2jhf,0.022,0.635,58,168.345,33.348,134.997,469.51,28.606,4.049,0.476,0.569,57.1,4.1,5,3,31.429,4.45,9.572,0.189,0
2qds,0.153,0.005,29,81.146,40.087,41.059,294.181,12.714,3.921,0.514,0.483,46.556,4.889,4,0,31.818,3.366,8.542,0.36,0
1mkv,0.154,0.745,113,233.844,87.563,146.281,834.002,40.196,4.102,0.539,0.451,38.458,4.333,10,1,37.705,5.967,13.44,0.58,0
1zz7,0.0,0.0,18,101.341,51.828,49.513,221.455,6.0,4.185,0.418,0.389,30.6,4.2,6,1,50.0,1.968,4.376,0.666,0
2d5z,0.156,0.857,106,205.105,24.931,180.174,755.173,61.174,3.906,0.462,0.868,61.76,4.48,8,3,23.729,6.076,13.597,0.308,0
1ivd,0.119,0.001,24,87.833,63.681,24.153,252.331,5.0,3.936,0.502,0.25,2.75,5.167,11,-2,47.619,2.691,5.415,0.564,0
1zng,0.431,0.847,82,117.171,21.451,95.719,491.964,67.459,3.992,0.448,0.902,77.158,4.842,3,0,16.279,4.496,10.496,0.26,0
1k3y,0.126,0.031,52,108.804,44.483,64.321,511.355,23.8,4.1,0.546,0.577,55.875,4.938,5,2,27.027,4.819,11.347,0.457,0
1pkk,0.272,0.007,21,106.076,54.148,51.928,400.846,10.0,3.922,0.616,0.524,12.778,4.222,6,-1,48.0,4.003,8.088,0.34,0
1je1,0.17,0.854,91,252.21,83.795,168.414,887.157,24.933,4.069,0.489,0.495,13.773,3.682,11,-3,43.396,7.071,19.681,0.298,0
2dur,0.119,0.0,23,69.876,51.762,18.114,276.617,6.0,3.965,0.504,0.304,4.286,3.714,5,-1,53.333,2.177,4.861,0.211,0
1rmt,0.157,0.14,84,195.35,80.625,114.725,686.076,43.778,4.06,0.463,0.536,7.421,4.0,16,-2,47.917,4.785,11.088,0.512,0
1a4m,0.354,0.942,92,167.129,50.801,116.328,665.746,48.271,3.945,0.491,0.641,21.2,4.0,10,-3,37.255,5.746,15.202,0.027,0
1lug,0.208,0.001,21,57.291,36.762,20.53,144.759,3.0,3.763,0.471,0.19,8.333,3.778,8,3,58.824,2.085,5.039,0.253,0
1zgc,0.041,0.421,204,432.105,226.808,205.297,1569.73,69.132,3.896,0.489,0.52,34.775,4.3,22,-2,37.069,8.56,19.981,0.228,0
2qds,0.153,0.836,67,203.437,47.653,155.784,624.457,29.459,4.093,0.532,0.552,19.706,4.059,11,3,37.778,5.121,12.932,0.559,0
2bur,0.303,0.487,72,173.802,95.306,78.496,602.135,37.952,3.909,0.493,0.583,15.667,5.222,15,5,42.222,5.339,13.283,0.3,0
1pb1,-0.04,0.0,16,112.565,88.413,24.153,325.179,0.0,3.997,0.612,0.062,-3.3,4.6,9,1,76.471,3.374,7.428,0.436,0
1ljn,0.325,0.0,35,117.347,78.703,38.644,403.656,1.0,3.967,0.498,0.057,32.455,4.455,7,-2,54.167,3.699,9.143,0.221,0
1mqo,0.084,0.016,31,79.702,23.993,55.709,292.629,14.0,3.996,0.451,0.484,23.2,4.2,6,2,23.81,2.649,5.141,0.643,0
2ai8,0.332,0.521,125,303.12,154.502,148.617,1094.534,17.568,3.891,0.475,0.296,16.379,3.966,15,-4,44.872,9.332,23.116,0.507,0
1f7k,0.23,0.014,25,83.142,50.536,32.606,294.363,11.0,3.81,0.499,0.48,47.625,3.875,2,-1,40.0,2.776,6.512,0.336,0
1pip,0.064,0.0,15,53.941,34.619,19.322,180.626,0.0,3.914,0.727,0.0,20.333,3.833,4,0,53.333,1.878,5.548,15.0,0
1seh,0.023,0.002,23,88.852,45.377,43.475,304.599,11.0,3.907,0.554,0.522,41.1,4.3,4,-1,40.909,2.888,5.442,0.276,0
1ms9,0.24,0.098,122,292.018,179.708,112.309,1210.898,11.586,3.935,0.477,0.238,18.966,4.966,23,1,48.571,7.647,19.827,0.319,0
2e3n,-0.082,0.623,164,398.058,123.926,274.132,1463.017,55.2,4.033,0.492,0.579,33.265,4.912,19,5,34.409,8.099,19.837,0.172,0
1v3e,-0.062,0.053,34,137.575,72.363,65.212,462.302,13.0,4.029,0.616,0.412,1.385,4.615,11,-2,41.176,3.619,8.202,0.315,0
1wpg,0.15,0.642,44,93.514,5.357,88.157,405.906,36.872,3.962,0.504,0.886,75.538,4.385,1,0,20.0,3.617,8.081,0.755,0
2jhf,-0.079,0.434,91,345.345,112.273,233.072,1158.157,27.081,4.019,0.457,0.407,21.552,3.862,12,3,47.541,7.781,21.729,0.363,0
2agw,0.291,0.904,49,170.329,30.244,140.085,524.596,26.263,3.908,0.49,0.776,40.333,3.5,4,0,28.571,5.758,14.821,0.308,0
1ko5,0.103,0.047,22,80.732,11.897,68.835,293.79,10.0,4.074,0.547,0.5,33.875,3.25,2,1,31.579,2.814,6.114,0.72,0
1odi,0.106,0.944,103,304.734,129.173,175.561,1100.359,21.59,3.981,0.493,0.379,15.167,3.667,15,-2,44.776,7.435,21.357,0.518,0
2fr3,-0.123,0.013,33,168.43,53.706,114.725,604.863,20.455,4.076,0.623,0.667,42.154,4.231,4,1,37.5,4.938,11.281,0.496,0
1kw6,0.342,0.667,79,173.719,71.07,102.648,653.61,32.216,3.879,0.475,0.468,23.667,3.952,15,3,36.735,5.769,15.481,0.188,0
2a2r,0.454,0.22,37,86.343,24.754,61.589,237.692,18.2,3.738,0.436,0.541,30.083,5.333,8,2,41.667,3.869,9.172,0.315,0
2h4x,0.376,0.013,81,193.014,121.685,71.329,630.815,3.2,3.688,0.369,0.123,10.556,4.63,19,9,55.556,6.283,13.804,0.386,0
1pkk,0.241,0.001,21,82.743,35.646,47.098,285.422,5.0,3.842,0.374,0.286,19.25,4.25,5,1,41.176,2.748,6.85,0.571,0
1fkb,0.037,0.001,18,74.363,33.304,41.059,280.164,13.0,4.105,0.496,0.778,52.333,5.0,3,0,33.333,2.43,7.33,0.163,0
2nmx,0.202,0.777,41,128.809,14.084,114.725,430.93,23.333,4.0,0.499,0.659,43.625,4.375,8,4,20.0,4.32,9.472,0.087,0
1jnq,-0.11,0.001,18,113.709,61.781,51.928,388.547,5.0,4.203,0.553,0.333,26.75,4.375,3,2,41.176,3.172,7.686,0.907,0
1jtv,0.099,0.001,19,94.017,33.636,60.381,365.864,3.0,3.963,0.536,0.211,24.556,4.111,3,0,42.857,3.827,9.414,0.513,0
1pb1,0.119,0.0,26,53.789,33.259,20.53,153.98,5.0,3.983,0.484,0.231,16.778,3.667,4,0,50.0,1.584,3.483,0.496,0
2d5z,-0.071,0.825,134,354.742,74.572,280.17,1188.161,66.228,3.975,0.45,0.851,65.107,4.607,6,4,25.352,7.585,19.996,0.318,0
1og1,0.204,0.234,75,214.023,112.582,101.441,807.464,20.615,3.9,0.433,0.347,18.211,4.316,11,0,47.727,5.82,14.655,0.343,0
1mkv,-0.021,0.001,15,64.11,38.75,25.36,143.59,6.0,3.725,0.461,0.467,8.0,4.167,4,0,46.667,2.35,5.119,0.728,0
1d0l,-0.011,0.0,18,92.674,60.068,32.606,207.228,2.0,3.938,0.436,0.167,38.0,5.444,7,2,50.0,2.697,5.694,0.231,0
1oxv,0.334,0.001,34,142.965,84.999,57.966,448.1,2.0,3.948,0.552,0.088,17.462,3.538,7,1,48.276,4.713,12.716,0.323,0
2oz9,0.076,0.264,72,212.188,89.01,123.178,648.939,22.667,3.928,0.485,0.375,44.273,4.182,4,2,37.5,4.938,14.226,0.429,0
